model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
47.5FT ONE OFF SLOOP,,,SL,14490,,3812,2135,17000,6000,,,,5500,,15005,,5500,,,,2440,,MH,KL,,2,,0¡,,R290,,200,,111,,,D-12,,12,,,12,12,,10,,12,,12,,,,,,,,,1260,
48FT CRUISER,,,SL,14630,,4000,1800,14000,4250,"CS FLX: 310S, WIRE DIAM 10MM",,,7200,,15200,,4800,,,,,,MH,DK,,2,,0¡,,E274,,200,,140,,,D-12,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1800,
49FT KETCH MAIN MAST,,,KT,14930,,4140,2800,30000,14000,"CS FLX: D-12, WIRE DIAM 12MM",,,,,16000,,5000,,,,,,MH,DK,,2,,0¡,,E365,,250,,,,,E-16,,16,,,16,16,,14,,16,,16,,12,10,,,,,,1073,
49FT KETCH MIZZEN,,,KT,14930,,4140,2800,30000,14000,,,,,,10660,,3500,,,,,,MH,DK,,1,,20¡,,E237,,171,,,,,310S,,10,,,12,10,,,,,,12,,10,,,,,,,1190,
49FT STEEL KT MAIN,,,KT,15000,,3940,1910,18400,8750,"CS FLX: C-10, WIRE DIAM 10MM",,,5870,,12300,,4000,,,,,,MH,DK,,2,,0¡,,E237,,200,,111,,,D-12,,10,,,12,12,,10,,14,,14,,10,8,,,,,,1400,
5.2M DINGHY,,,SL,,,,,,,,,,1500,,6682,,2000,,,,,,FR,DK,,1,,18¡,,3629,,86,,48,,,104S,,4,,,5,,,,,,,5,,,,,,,,,468,
52FT RACE/CRUIS CONV,,,SL,15850,,4500,2850,11500,5000,"LOWER INTERMEDIATE WIRE DIAM 8MM, LOWER RUNNER WIRE DIAM 6MM",,,5700,,19200,,7000,,,,1800,,FR,KL,,3,,18¡,,E224,,250,,111,,,310S,,10,,,10,7,,6,,,,10,,,8,,,,,,1700,
56FT CRUISING CUTTER,,,CT,17310,,4160,2370,17500,6500,"CS FLX: 310S, WIRE DIAM 10MM",,,5600,,17230,,5810,,,,2170,,FR,KL,,2,,18¡,,E237,,250,,111,,,D-12,,12,,,12,10,,10,,,,12,,10,8,,,,,,1100,
7.47 CRUISER RACER,,,SL,,,2500,,,,,,,2530,,9570,,4059,,,,,,FR,DK,,1,,31¡,,4529,,86,,48,,,104S,,4,,,4,3,,,,,,4,,,,,,,4,,712,
7M KAJUTKREUZER,,,SL,7000,,2500,850,1700,400,,,,2540,,8740,,3200,,,,,,FR,DK,,1,,25¡,,E122,,86,,48,,,104S,,4,,,4,3,,,,,,4,,,,,,,,,600,
8.5M ONE DESIGN,,,SL,,,,,,,,,,3300,,10500,,3750,,,,760,,FR,KL,,1,,24¡,,E170,,143,,72,,,B-7,,7,,,8,5,,,,,,8,,,,,,,,,1000,
9 MTR CATALAC,,,SL,9000,,3000,690,3000,1000,,,,3580,,9235,,4305,,,,,,MH,DK,,1,,1¡,,E189,,143,,72,,,207S,,7,,,7,7,,,,,,7,,,,,5,,,,800,
A 30,,,SL,9100,,2500,2000,1700,500,,,,2870,,11100,,3970,,,,1560,,FR,KL,,2,,33¡,,E122,,120,,60,,,105S,,5,,,5,4,,4,,5,,5,,,,,,,,,670,
ABELONE 446 CONV,,,SL,13600,,4110,1850,10900,4500,"CS FLX: 308S, WIRE DIAM 8MM BABYSTAY RUNNER WIRE DIAM 6MM",,,5495,,15800,,4785,,,,2010,,MH,KL,,2,,0¡,,E237,,200,,99,,,310S,,10,,,10,10,,8,,,,10,,8,7,,8,,,,1315,
ABSOLUT 37 19/20 CON,,,SL,11300,,3300,2000,5800,2200,,,,,,13200,,4600,,,,1790,,FR,KL,,2,,7¡,,E177,,143,,,,,207S,,7,,,7,6,,5,,,,8,,,4,,,,,,1100,
ABSOLUT 38 M5,,,SL,11300,,3330,1950,5500,2200,"CS FLX: B-6, WIRE DIAM 6MM",,,4350,,13430,,4600,,,,1830,,MH,KL,,2,,0¡,,E177,,143,,84,,,B-8,,8,,,7,8,,6,,,,8,,6,5,,6,,,,990,
ABSTENSION,,,SL,7000,,2470,1480,1782,455,,,,2750,,8300,,2800,,,,,,FR,DK,,1,,25¡,,E122,,120,,48,,,105S,,5,,,5,3,,,,,,5,,,,,,,4,,550,
ACHILLES 24,,,SL,7239,,2172,1143,1181,642,Spreader length; 750,,,2340,,6782,,2340,,7580,,,,MH,DK,,1,,0¡,,E122,,86/59,,48,,,105S,,5,,,4,5,,,,4,,4,,,,,,,,,480,ACHILLES
ACHILLES 840,,,SL,8400,,2840,1448,2381,1134,,,,3360,,8555,,2970,,,,,,MH,DK,,1,,6¡,,E155,,86,,60,,,106S,,6,,,6,6,,,,6,,6,,,,,,,,,825,ACHILLES
ACHILLIES 840 FURLIN,,,SL,8400,,2840,1448,2381,1134,,,,3360,,8250,,2970,,,,,,MH,DK,,1,,6¡,,R190,,86,,60,,,A-6,,6,,,6,6,,,,6,,6,,,,,,,,,1000,ACHILLES
ADAMS 12 CONV,,,SL,12000,,3710,1067,9000,4000,"CS FLX: 207S, WIRE DIAM 7MM",,,4496,,14200,,4800,,,,1825,,FR,KL,,2,,19¡,,E189,,171,,96,,,308S,,8,,,10,6,,7,,,,10,,7,6,,,,,,900,
ADVENTURE 25,,,SL,7925,,2440,1070,2114,898,,,,3136,,7532,,2896,,,,,,MH,DK,,1,,9¡,,E130,,86,,60,,,A-5,,5,,,5,5,,,,5,,5,,,,,,,,,752,
AKELA 50 CONV,,,SL,15240,,3930,2500,9000,2000,"CS FLX: 308S, WIRE DIAM 8MM, LOWER INTERMEDIATE WIRE DIAM 7MM, LOWER RUNNER WIRE DIAM 6MM",,,6000,,17300,,6000,,,,13¡,,MH,DK,,3,,,,E224,,200,,99,,,310S,,10,,,10,10,,7,,,,10,,8,7,,8,,,,1150,
ALAN HILL 46 CUTTER,,,CT,14021,,3658,1753,13000,4500,"CS FLX: C-8, WIRE DIAM 8MM",,,5105,,14021,,5944,,,,1778,,MH,KL,,2,,0¡,,E224,,200,,99,,,C-10,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1372,
ALAN POPE 12.9M CONV,,,SL,12900,,3680,1900,14370,4500,"CS FLX: 308S, WIRE DIAM 8MM",,,4690,,13150,,5500,,,,,,MH,DK,,2,,0¡,,E224,,171,,99,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1000,
ALBERG 35,,,SL,10600,,2900,1600,5720,2400,,,,4950,,10670,,4800,,,,,,MH,DK,,1,,2¡,,E189,,143,,84,,,207S,,7,,,7,7,,,,8,,8,,,,,,,,,840,
ALBIN 78,,,SL,7800,,2650,1500,2400,970,,,,2850,,9500,,2700,,,,,,FR,DK,,1,,24¡,,E138,,86,,48,,,105S,,5,,,5,4,,,,,,5,,,,,,,,,800,ALBIN
ALBIN VEGA CONV,,,SL,,,,,,,,,,,,7710,,3300,,,,,,MH,DK,,1,,0¡,,E138,,86,,48,,,105S,,5,,,5,5,,,,5,,5,,,,,,,,,840,ALBIN
ALBIN VEGA FR FURL,,,SL,,,,,,,,,,3100,,8400,,3300,,,,,,FR,DK,,1,,0¡,,R190,,86,,48,,,105S,,5,,,5,4,,,,5,,5,,,,,,,,,1030,ALBIN
ALBION CONV,,,SL,11000,,3700,2200,8000,2500,,,,,,12600,,3800,,,,,,MH,DK,,2,,1¡,,C227,,143,,,,,308S,,8,,,7,8,,6,,7,,7,,,,,,,,,650,
ALEGRIA FURL,,,SL,11683,,3758,1676,9090,3636,"CS FLX: 207S, WIRE DIAM 7MM",,,4876,,14935,,4572,,,,2154,,MH,KL,,2,,11¡,,F246,,200,,96,,,310S,,10,,,8,10,,7,,10,,10,,7,6,,,,,,1100,
AMARYLLIS 2 KT MIZZ,,,KT,13230,,3640,1950,13500,5510,,,,,,7470,,2700,,,,,,MH,DK,,1,,30¡,,E170,,120,,,,,207S,,7,,,8,6,,,,8,,8,,,,,,,,,680,
AMBER 40,,,SL,12000,,3940,1830,10000,4000,"CS FLX: 308S, WIRE DIAM 8MM",,,5190,,13460,,4880,,,,,,MH,DK,,2,,1¡,,C264,,200,,99,,,310S,,10,,,10,10,,8,,10,,10,,8,6,,,,,,1350,AMBER
AMBER 400 CONV,,,SL,12000,,3940,1830,10000,4500,"CS FLX: 308S, WIRE DIAM 8MM",,,5065,,13540,,4880,,,,,,MH,DK,,2,,0¡,,E224,,200,,99,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1250,AMBER
AMEL MARAMU MAIN FRL,,,KT,14000,,4000,2100,12500,4700,SPIN. POLE DIAM IS WHISKER POLE,,,,,12995,,3880,,,,,,MH,DK,,2,,0¡,,R232,,171,,96,,,310S,,10,,,10,10,,8,,10,,10,,,,,,,,,1000,AMEL
AMEL MARAMU MIZZ FRL,,,KT,14000,,4000,2100,12500,4700,NO PERMANENT BACKSTAY,,,,,9410,,2650,,,,,,MH,DK,,1,,26¡,,R213,,120,,,,,104S,,4,,,7,,,,,7,,7,,,,,,,,,1600,AMEL
AMEL MARIMU MAIN CON,,,KT,14000,,4000,1900,12500,3500,"EMERGENCY IF STAY, WIRE DIAM 8MM",,,4877,,13200,,3986,,,,,,MH,DK,,1,,1¡,,E237,,171,,99,,,310S,,10,,,10,10,,,,10,,10,,8,,,,,,,900,AMEL
AMEL MARIMU MIZZ CON,,,KT,14000,,4000,1900,12500,3500,,,,,,8992,,2691,,,,,,MH,DK,,1,,13¡,,E170,,120,,,,,105S,,5,,,6,6,,,,7,,7,,,,,,,,,1600,AMEL
ANDERSON 30 SPECIAL,,,SL,9144,,2970,1550,6000,1700,,,,3962,,9809,,2640,,,,,,MH,DK,,1,,0¡,,E177,,120,,72,,,B-7,,7,,,7,7,,,,7,,7,,,,,,,,,914,ANDERSON
ARCONA 38 CONV,,,SL,11200,,3500,1850,6500,2300,,,,4020,,13780,,4650,,,,1920,,FR,KL,,2,,18¡,,E189,,143,,84,,,208S,,8,,,8,7,,6,,,,10,,,,,,,,,1315,ARCONA
ARCONA 38 FURL,,,SL,,,,,,,RUNNERS OPTIONAL,,,,,14500,,4600,,,,1920,,FR,KL,,2,,21¡,,R235,,171,,96,,,207S,,7,,,8,5,,6,,,,8,,,6,,,,,,1310,ARCONA
ARCONA 40 FURL,,,SL,11990,,3780,1850,8500,3000,"CS FLX: 207S, WIRE DIAM 7MM",,,4650,,13995,,4850,,,,,,MH,DK,,2,,7¡,,R232,,171,,96,,,C-10,,10,,,8,10,,7,,10,,10,,7,6,,,,,,1500,ARCONA
ARCONA 40 FURL 14950,,,SL,11990,,3780,1850,8500,3000,"CS FLX: 207S, WIRE DIAM 7MM",,,4650,,13045,,4850,,,,,,MH,DK,,2,,7¡,,R232,,171,,96,,,310S,,10,,,8,10,,7,,10,,10,,7,5,,,,,,1500,ARCONA
ARCONA 400 CONV 2SPR,,,SL,11980,,3820,2000,7500,2800,,,,4290,,15350,,5400,,,,2000,,FR,KL,,2,,19¡,,E206,,171,,96,,,308S,,8,,,10,7,,7,,,,10,,,,,,,,,1300,ARCONA
ARCONA 400 CONV 3SPR,,,SL,11980,,3820,2100,7000,2500,LOWER INTERMEDIATE WIRE DIAM 7MM,,,4290,,15350,,5500,,,,1940,,FR,KL,,3,,19¡,,C227,,171,,96,,,308S,,8,,,10,8,,6,,,,10,,,,,,,,,1265,ARCONA
ARCONA 400 FURL 3SPR,,,SL,11980,,3820,2100,7000,2500,LOWER INTERMEDIATE WIRE DIAM 7MM,,,4290,,15350,,5500,,,,1940,,FR,KL,,3,,19¡,,F228,,171,,84,,,308S,,8,,,8,8,,6,,,,10,,,,,,,,,1265,ARCONA
ARGEN 54 CRUISER CON,,,SL,16650,,4950,2550,22000,8000,"CUTTERSTAY / RUNNERS REQUIRED!, CS FLX: 412S, WIRE DIAM 12MM, LOWER INTERMEDIATE WIRE DIAM 12MM",,,6500,,19800,,6800,,,,2100,,MH,KL,,3,,17¡,,E321,,250,,,,,414S,,14,,,14,14,,10,,,,14,,12,10,,10,,,,1520,ARGEN
AVENTURIN 40,,,SL,,,,,,,"CS FLX: 207S, WIRE DIAM 7MM",,,4900,,13070,,4770,,,,,,MH,DK,,2,,0¡,,E206,,171,,96,,,310S,,10,,,10,10,,7,,,,10,,7,6,,8,,,,1250,
B 31 VASTERAS CONV,,,SL,9340,,2760,1700,4500,1700,,,,,,9925,,3300,,,,1780,,MH,KL,,1,,0¡,,E170,,120,,60,,,206S,,6,,,6,6,,,,,,7,,,,,5,,,,940,
B-25,,,SL,7820,,2490,1420,1168,272,,,,2540,,8900,,3660,,,,,,FR,DK,,1,,30¡,,5034,,86,,48,,,104S,,4,,,5,4,,,,,,5,,,,,,,,,500,
B 31 CONV WAHLANDER,,,SL,,,,,,,"EMERGENCY IF STAY, WIRE DIAM 5MM",,,,,9850,,3300,,,,1810,,MH,KL,,1,,0¡,,E170,,120,,,,,B-6,,6,,,6,6,,,,,,7,,5,,,5,,,,900,
B 31 FURL,,,SL,,,,,,,,,,,,9810,,2850,,,,1810,,MH,KL,,1,,0¡,,R190,,120,,,,,206S,,6,,,6,6,,,,,,6,,,,,5,,,,820,
B 31 S 19/20 CONV,,,SL,9450,,3000,1500,3650,1500,RUNNERS DELETED,,,4200,,11500,,3300,,,,,,FR,DK,,2,,0¡,,E138,,120,,72,,,206S,,6,,,6,5,,4,,6,,6,,,,,,,,,900,
B 31 S 2-SPR CONV,,,SL,9450,,3000,1500,3650,1500,RUNNER IS CHECKSTAY,,,4200,,11800,,3300,,,,,,FR,DK,,2,,0¡,,E138,,143,,72,,,206S,,6,,,6,5,,4,,6,,6,,,3,,,,4,,900,
BABA 30 CONV,,,SL,9140,,3120,1450,5670,2270,"CUTTERSTAY REQUIRED, CS FLX: 206S, WIRE DIAM 6MM",,,4420,,12770,,3800,,,,,,MH,DK,,1,,1¡,,E206,,171,,84,,,208S,,8,,,8,8,,,,8,,8,,6,7,,,,,,700,
BABA 40 FURL,,,SL,12167,,3911,1829,13154,4536,"CS FLX: 208S, WIRE DIAM 8MM",,,6400,,13645,,4496,,,,2337,,MH,KL,,2,,0¡,,R232,,171,,111,,,310S,,10,,,8,10,,7,,10,,10,,8,8,,,,,,1190,BABA
BRIAND 32 FURL,,,SL,8990,,3250,1810,3400,1190,,,,3300,,11100,,3700,,,,,,MH,DK,,2,,29¡,,R190,,120,,60,,,206S,,6,,,6,6,,5,,,,6,,,,,6,,,,1175,
BRIAND 34 FURL,,,SL,10400,,3520,1850,4970,1750,,,,4000,,11600,,4100,,,,,,MH,DK,,2,,19¡,,R213,,143,,72,,,207S,,7,,,7,7,,6,,,,7,,,,,6,,,,1220,
BRISE DE MER 31 CONV,,,SL,9350,,3170,1550,2900,950,,,,3370,,9600,,2900,,,,,,MH,DK,,1,,3¡,,E170,,86,,60,,,106S,,6,,,6,6,,,,6,,6,,,,,,,,,1230,
BRISTOL 35.5 CONV,,,SL,10820,,3300,1750,7950,3140,,,,4570,,12720,,3730,,,,2110,,MH,KL,,2,,0¡,,E206,,143,,84,,,308S,,8,,,8,8,,7,,8,,8,,,,,,,,,1050,
BRITTANY CLASS CONV,,,SL,10200,,2500,1700,7200,2950,"CS FLX: 206S, WIRE DIAM 6MM",,,3880,,11330,,4572,,,,,,MH,KL,,2,,1¡,,E177,,143,,72,,,208S,,8,,,8,8,,6,,8,,8,,6,5,,,,,,1220,
BROFJORD 36 FURL,,,SL,,,,,,,"EMERGENCY IF STAY WIRE DIAM 6MM, DOUBLE BACKSTAYS",,,,,10650,,4000,,,,,,MH,DK,,2,,0¡,,R190,,143,,,,,B-7,,7,,,7,6,,6,,7,,7,,6,,,,,,,1450,
BROWN BEAR,,,SL,,,,,,,"BABY IS IF STAY, CS FLX: C-10, WIRE DIAM 10MM",,,5470,,15250,,5000,,,,2020,,MH,KL,,3,,0¡,,E224,,200,,99,,,D-12,,12,,,10,12,,8,,12,,12,,10,8,,7,,,,1400,
BUCHANAN 27 CONV,,,SL,8229,,2400,1370,5500,1600,JUMPER SPREADER ANGLE 45¡,,,3120,,9525,,3708,,,,1372,,FR,KL,,1,,0¡,,E138,,120,,60,,,106S,,6,,,6,4,,,,,,6,,,,,,,5,,1067,
BUCHANAN 37,,,SL,11278,,3048,1829,7900,3200,,,,4191,,10973,,5029,,,,1981,,MH,KL,,,,0¡,,E206,,171,,84,,,C-8,,8,,,8,8,,,,8,,8,,,,,,,,,2036,
BUCHANAN 37 (D.S.R.),,,SL,11278,,3048,1829,7900,3200,,,,4191,,11900,,5029,,,,,,MH,DK,,2,,0¡,,E206,,171,,84,,,C-10,,10,,,8,10,,7,,8,,8,,,,,,,,,1041,
BUCHANAN 37 2SPR CNV,,,SL,11278,,3048,1829,7900,3200,Top spreader length; 950. Bottom spreader length;1300,,,4150,,11150,,5030,,13173,,,,MH,DK,,2,,0¡,,E189,,171,,84,,,C-8,,8,,,7,8,,6,,8,,8,,,,,,,,,1050,
BUCHANAN 37 CONV DK,,,SL,11278,,3048,1829,7900,3200,,,,4150,,11150,,5030,,,,,,MH,DK,,1,,0¡,,E224,,171,,84,,,C-8,,8,,,8,8,,,,8,,8,,,,,,,,,1050,
BUCHANAN SLOOP,,,SL,11200,,3048,1828,8900,2500,,,,4100,,11300,,3650,,,,1890,,MH,KL,,1,,0¡,,E206,,143,,84,,,C-8,,8,,,8,8,,,,8,,8,,,,,,,,,1150,
BUHL 42 CONV,,,SL,12900,,3960,2000,8000,3800,,,,4650,,16000,,5000,,,,2000,,MH,KL,,2,,24¡,,C264,,171,,96,,,310S,,10,,,8,10,,7,,,,10,,,,,,,,,1000,
BUISSIER CONV,,,SL,16650,,5000,2000,16500,5800,"LOWER INTERMEDIATE WIRE DIAM 12MM, CS FLX: D-12, WIRE DIAM 12MM",,,6500,,18500,,6500,,,,,,MH,DK,,3,,15¡,,E274,,250,,140,,,D-14,,14,,,14,14,,10,,,,12,,12,10,,10,,,,1500,
BUIZEN 40 CONV,,,SL,12200,,3900,1900,9500,3500,,,,4940,,13350,,5000,,,,1975,,MH,KL,,2,,5¡,,E206,,171,,96,,,310S,,10,,,10,10,,8,,10,,10,,7,,,,,,,1400,
BUIZEN 40 FRL P13430,,,SL,12250,,3900,2000,9000,3300,EMERGENCY IF STAY WIRE DIAM 8MM,,,4800,,13430,,4870,,,,1975,,MH,KL,,2,,4¡,,R232,,171,,96,,,310S,,10,,,10,10,,7,,10,,10,,8,,,,,,,1370,
BUIZEN 48 CONV,,,SL,14630,,4000,1800,15000,6000,"CS FLX: 310S, WIRE DIAM 10MM",,,5250,,15000,,5700,,,,2140,,MH,KL,,2,,13¡,,E237,,200,,111,,,412S,,12,,,10,12,,8,,,,12,,10,8,,,,,,1500,
BUIZEN 48 FURL,,,SL,14630,,4000,1800,15000,6000,"CS FLS: 308S, WIRE DIAM 8MM",,,5250,,14990,,5700,,,,2140,,MH,KL,,2,,12¡,,R290,,200,,99,,,412S,,12,,,10,12,,8,,,,12,,8,7,,,,,,1500,
BURRAMYS CONV,,,SL,12000,,3660,1500,12000,4000,,,,4470,,12800,,4100,,,,,,MH,DK,,2,,0¡,,E224,,171,,96,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1450,
BYNKOW CONV,,,SL,14100,,4260,2150,14200,4500,"LOWER INTERMEDIATE WIRE DIAM 8MM, CHECKSTAY WIRE DIAM 6MM",,,5300,,18200,,6700,,,,2250,,FR,KL,,3,,24¡,,E206,,250,,99,,,310S,,10,,,10,6,,7,,,,12,,,8,,,,6,,1400,
B†RGLE,,,SL,7710,,2490,1430,1520,630,,,,,,8350,,2670,,,,,,MH,DK,,1,,6¡,,E130,,86,,,,,A-5,,5,,,4,5,,,,,,5,,,,,4,,,,580,
C&C 110 CONV,,,SL,11074,,3657,2209,4944,1905,,,,4267,,13720,,4724,,,,1950,,MH,KL,,2,,14¡,,E206,,171,,84,,,208S,,8,,,7,8,,6,,,,8,,,,,,,,,1080,
C&C 110 CONV 3SPR,,,SL,11074,,3657,2209,4944,1905,"LOWER INTERMEDIATE WIRE DIAM 5MM, RUNNER IS CHECKSTAY",,,4267,,13670,,4724,,,,2000,,MH,KL,,3,,13¡,,E170,,143,,72,,,207S,,7,,,7,7,,5,,,,7,,6,4,,,,,,1080,
C&C 121 CONV,,,SL,12192,,3992,2438,6395,2495,RUNNER IS CHECKSTAY,,,4572,,15546,,4995,,,,2000,,MH,KL,,2,,8¡,,E237,,200,,96,,,310S,,10,,,10,10,,7,,,,10,,,5,,,,,,1124,
C&C 121 CONV 3SPR,,,SL,12192,,3992,2438,6395,2495,"LOWER INTERMEDIATE WIRE DIAM 7MM, RUNNER IS CHECKSTAY",,,4572,,15546,,4995,,,,2000,,MH,KL,,3,,8¡,,E206,,200,,96,,,310S,,10,,,10,10,,7,,,,10,,7,5,,,,,,1124,
C&C 30,,,SL,,,,,,,,,,,,10522,,3145,,,,,,MH,DK,,1,,0¡,,E177,,120,,,,,206S,,6,,,7,6,,,,,,7,,,,,6,,,,985,
C&C 32 CONV,,,SL,9600,,3210,1730,4390,1770,RUNNER IS CHECKSTAY,,,3886,,10980,,3465,,,,1843,,MH,KL,,2,,0¡,,E155,,143,,72,,,207S,,7,,,6,7,,5,,,,7,,6,4,,,,,,900,
C&C 37 CONV,,,SL,12050,,3930,2300,7215,2722,RUNNER IS CHECKSTAY,,,,,14200,,4790,,,,2095,,MH,KL,,2,,0¡,,C8,,171,,,,,308S,,8,,,8,8,,6,,,,8,,5,5,,,,,,1300,
C&C 99 CONV,,,SL,9900,,3300,1980,4200,1450,,,,3960,,12345,,3960,,,,1980,,MH,KL,,2,,10¡,,E177,,143,,72,,,207S,,7,,,6,7,,5,,,,6,,,,,,,,,940,
C-11.30 CONV DK,,,SL,10700,,3700,1850,7300,3000,"EMERGENCY IF STAY WIRE DIAM 6MM, RUNNER IS CHECKSTAY",,,,,13500,,4500,,,,,,FR,DK,,2,,17¡,,E189,,143,,,,,207S,,7,,,8,6,,5,,,,8,,6,4,,,,,,1260,
C-11.30 FURL DK,,,SL,10700,,3700,1850,7300,3000,EMERGENCY IF STAY WIRE DIAM 6MM,,,4100,,13200,,4500,,,,,,FR,DK,,2,,16¡,,F228,,171,,84,,,208S,,8,,,8,7,,6,,,,8,,6,,,,,,,1260,
C-40 CONV 1SPR,,,SL,13600,,2100,1900,4000,2200,EMERGENCY IF STAY WIRE DIAM 5MM,,,3680,,13000,,4650,,,,,,FR,DK,,1,,23¡,,E170,,143,,72,,,206S,,6,,,7,4,,,,,,7,,5,,,,,,,700,
C-40 CONV 2SPR,,,SL,13600,,2100,1900,4000,2200,EMERGENCY IF STAY WIRE DIAM 5MM,,,3680,,13000,,4650,,,,,,FR,DK,,2,,23¡,,E138,,143,,72,,,206S,,6,,,7,4,,5,,,,7,,5,5,,,,5,,700,
C-YACHT 1040 FURL,,,SL,10300,,3470,1750,5500,1760,RUNNER IS CHECKSTAY,,,3760,,11600,,4000,,,,,,FR,DK,,2,,17¡,,F212,,143,,72,,,207S,,7,,,7,6,,5,,,,7,,,4,,,,,,1380,
C-YACHT 1100 FURL,,,SL,,,,,,,,,,4100,,13250,,4300,,,,,,FR,DK,,2,,19¡,,F228,,171,,84,,,208S,,8,,,8,7,,6,,,,8,,,,,,,,,1400,
C-YACHT 12.50 CONV,,,SL,12500,,3900,1800,10000,4300,,,,,,15500,,5000,,,,,,FR,DK,,2,,17¡,,C264,,171,,,,,310S,,10,,,10,8,,7,,12,,12,,,,,,,,,1600,
C-YACHT 12.50 FURL,,,SL,,,,,,,,,,,,15500,,5000,,,,,,FR,DK,,2,,20¡,,F265,,171,,,,,310S,,10,,,10,8,,8,,12,,12,,,,,,,,,1600,
CA 45 KT MAIN FURL,,,KT,13200,,4500,2000,25000,7000,"CS FLX: 310S, WIRE DIAM 10MM",,,,,15190,,5300,,,,,,MH,DK,,2,,0¡,,R290,,200,,96,,,D-12,,12,,,12,12,,10,,12,,12,,10,8,,,,,,1600,
CABO RIC 40 CONV,,,SL,13106,,3861,1600,11476,4763,"CS FLX: 308S, WIRE DIAM 8MM",,,,,14097,,5029,,,,1702,,MH,KL,,2,,0¡,,E224,,171,,,,,310S,,10,,,10,10,,7,,10,,10,,8,7,,,,,,1500,
CABO RICO 42 FURL,,,SL,13560,,3860,1600,12155,4715,"CS FLX: 308S, WIRE DIAM 8MM",,,,,14090,,5360,,,,2220,,MH,KL,,2,,0¡,,R232,,200,,,,,310S,,10,,,10,10,,8,,10,,10,,8,7,,,,,,1210,
CABO RICO 45 CONV,,,SL,14935,,4013,1981,16148,6123,"CS FLX: 310S, WIRE DIAM 10MM",,,,,15545,,6426,,,,1727,,MH,KL,,2,,0¡,,E237,,250,,,,,D-12,,12,,,10,12,,8,,10,,10,,10,8,,,,,,1117,
CALAR 33 CONV,,,SL,10000,,3300,1800,6000,1800,,,,4000,,11900,,3500,,,,,,FR,DK,,2,,17¡,,E170,,143,,72,,,B-7,,7,,,6,5,,6,,8,,8,,,,,,,,,800,
CALIBER 35 CONV,,,SL,10900,,3450,1340,5940,2770,EMERGENCY IF STAY WIRE DIAM 6MM,,,4648,,11965,,3657,,,,2391,,MH,KL,,1,,0¡,,E206,,143,,84,,,207S,,7,,,7,7,,,,7,,7,,6,,,,,,,810,
CALIBER 35 FURL,,,SL,10900,,3450,1340,5940,2770,EMERGENCY IF STAY WIRE DIAM 6MM,,,4648,,11935,,3657,,,,2390,,MH,KL,,1,,0¡,,R232,,143,,84,,,207S,,7,,,7,7,,,,7,,7,,6,,,,,,,810,
CALIBER 40 CONV,,,SL,11900,,3810,1550,9700,4300,"RUNNER IS AFT INTERMEDIATE, CS FLX: 308S, WIRE DIAM 8MM",,,,,13953,,4040,,,,2600,,MH,KL,,2,,8¡,,E206,,171,,,,,310S,,10,,,10,10,,7,,10,,10,,8,8,,,,,,1000,
CALIBER 40 FURL,,,SL,11900,,3810,1550,9700,4300,"RUNNER IS AFT INTERMEDIATE, CS FLX: 308S, WIRE DIAM 8MM",,,,,13985,,4040,,,,2600,,MH,KL,,2,,8¡,,R232,,171,,,,,310S,,10,,,10,10,,7,,10,,10,,8,8,,,,,,1000,
CALIBER 47 CONV,,,SL,14800,,4013,1575,15000,5850,"RUNNER IS AFT INTERMEDIATE, CS FLX: 308S, WIRE DIAM 8MM",,,,,14588,,5490,,,,2388,,MH,KL,,2,,8¡,,E237,,200,,,,,D-12,,12,,,12,12,,8,,12,,12,,8,10,,,,,,1702,
CALIBER 47 FURL,,,SL,14800,,4013,1575,15000,5850,"RUNNER IS AFT INTERMEDIATE, CS FLX: 308S, WIRE DIAM 8MM",,,,,14646,,5490,,,,2568,,MH,KL,,2,,8¡,,R290,,200,,,,,412S,,12,,,12,12,,8,,12,,12,,8,10,,,,,,1522,
