model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
ATLANTA 32,,,KT,9751,,,,,,,,,,,,,,,9918,5867,,,MH,DK,,1,,,25 AFT,E155,4027,4027,2722,,,,,,,,,6    5 MIZ,,,,,5,,5,5,,,,,,,,,ATLANTA
ATLANTA 8.5 (28),,Atlanta Marine,SL,8540,7170,2770,1435F/1190T,3500,1350,8.5 was a developed version with more ballast,,,3200,,,,3276,,9753,,,,MH,DK,,1,,,,E155,,111,,60,,,,,6,,,6,6,,,,5,,5,,,,,,,,,,ATLANTA
ATLANTA MIDI,,,KT,,,,,,,,,,,,,,,,6096,4572,,,MH,DK,,1,,,,3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLANTA
ATLANTIC CLIPP.,,,KT,10970,7770,2972,1905,5475,2368,,10980,,3962,,9380,,3560,,10430,8025,,,MH,DK,,1,,,39 AFT,1244,4831,4040,3024,,,,,,6,,,6    4 MIZ,6,,,,4,4,6,4,6,,,,,,,,ATLANTIC
ATLEFOLK 26,,,SL,7921,,,,,,,,,,,,,,,9150,,,,MH,DK,,1,,,,E138,,85,,,,1,5,,5,,,5,5,,,,5,,5,,,,,,,,,,ATLEFOLK
AUK 32,,,SL,9751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUK
AVENTURA 40,,,CT,12190,,3280,,12000,,,,,,,,,,,,,,,MH,,,2,,,,,,(DNL),,,,,,,,,,,,,,,,,,,,,,,,,,,AVENTURA
BABA 40,,,SL,12191,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,2,10C,,10,,,,,,,,,,,,,,,,,,,,BABA
BALLAD,,Albin,SL,9140,6900,2960,1550,3300,1550,,11300,,3740,,9750,,2850,,,,,,MH,KL,,1,,,,E170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballad
BANGOR 'S' CLASS,,,SL/CT,8534,,,,,,,,,,,,,,,10921,,1715,,MH,KL,,1,,,,E155,,,,,,,,,6,,,5,6,,,,5,,5,,6,,,,,,,,BANGOR 'S' CLASS
BANJER,,,KT/CT,11125,,3505,,14000,,,,,,,,,,,,,,,,,,,,,,7752,,4027,,,,,,,7,,,6,2x6,,,,6,,6,,5,4,,,,,,,BANJER
BANNER 41,,,SL,12500,,3355,,5333,,,,,,,,,,,,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANNER
BAR CREEK 44,,,KT/CT,13411,,,,,,,,,,,,,,,13767,8382,1753   -,,MH,KL,DK,1,1,,21 AFT,10070,6746,5050,3535,,,,,,10,7,2x6,10,10,4x6,,,8,,8,6,8    -,8,,,,,,,BAR CREEK
BARADAL CAT,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,BARADAL CAT
BARBADOS,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,7752,,4027,,,,,,,,,,,,,,,,,,,,,,,,,,,BARBADOS
BARBICAN 30,,,SL,8990,7380,2890,1450,4474,2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARBICAN
BARBICAN 33,,,SL,9950,8330,2930,1930cb1220,5723,2488,Spreader length;1100,11697,,3835,,10058,,3810,,11239,,,,MH,DK,,1,,,,E177,,128,,72,72-61,1,7 x 13,,7 (?6),,,7 (?6),7 (?6),,,,7 (?6),,7 (?6),,,,,,,,,889,BARBICAN
BARBICAN 35,,,SL,10540,,3050,,7517,,,12000,,4267,,10516,,3658,,11887,,,,,,,,,,,,,111,,84,84-60,1,8B,,8,,,8,8,,,,8,,8,,,,,,,,,,BARBICAN
BARRACUDA 45,,Sadler,SL,13700,12800,3800,2390,5898,2000,,14173,,4674,,14833,,5805,,16275,,,,,,,,,25AFT,,,,162,,96,,2,10C x 17.9,72/58,10,,,10,6,,8,,,,10,,,,,,,,,,BARRACUDA
BAVARIA 30+ FURL,,,MH,8740,7310,2950,1420,3200,1100,SMAB Prod' data,,,,,10000,,3400,,12200,,-,,MH,DK,,2,,23/25d A,,R190,,120,,72,,10S Normal,200S,,6,,,6-FR,4-FR,,5-FR,,,,6-FR,,,,,,,,,,BAVARIA
BAVARIA 320,,,SL,9600,8500,3200,1650/1350,3700,1403,SMAB Prod' data,,,2950,,,,3800,,,,,,,,,,,,,"E155, R190",,143,,60,,,,,,,,,,,,,,,,,,,,,,,,,BAVARIA
BAVARIA 390,,,SL,11740,,4000,1800,8000,,,,,4050,,,,4900,,,,,,,,,,,,,"E206, R232",,200-(171 F,,84,,,,,,,,,,,,,,,,,,,,,,,,,BAVARIA
